index,municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,ç
2792,PEDRAS ALTAS,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2793,PEDRO OSORIO,1,1,0,4,2,0,0,0,4,1,0,0,0,0,1,,,,,,,,,,,,,,,,
2794,PEJUCARA,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2795,PELOTAS,2,2,0,244,10,16,84,1,176,14,16,31,0,0,2,,,,,,,,,,,,,,,,
2796,PICADA CAFE,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,,,,,,,,,,,,,,,,
2797,PINHAL,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2798,PINHAL DA SERRA,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2799,PINHAL GRANDE,0,0,0,9,3,0,0,0,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,
2800,PINHEIRINHO DO VALE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2801,PINHEIRO MACHADO,1,1,0,5,1,0,0,0,8,0,0,0,0,0,1,,,,,,,,,,,,,,,,
2802,PINTO BANDEIRA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2803,PIRAPO,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2804,PIRATINI,0,0,0,24,4,0,4,0,21,0,2,0,0,0,0,,,,,,,,,,,,,,,,
2805,PLANALTO,2,2,0,10,0,1,0,0,1,2,4,2,0,0,2,,,,,,,,,,,,,,,,
2806,POCO DAS ANTAS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2807,PONTAO,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2808,PONTE PRETA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2809,PORTAO,0,0,0,27,1,2,4,1,25,0,9,2,0,0,0,,,,,,,,,,,,,,,,
2810,PORTO ALEGRE,22,25,0,2360,2,121,1275,127,1499,59,321,277,0,1,26,,,,,,,,,,,,,,,,
2811,PORTO LUCENA,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,
2812,PORTO MAUA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2813,PORTO VERA CRUZ,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2814,PORTO XAVIER,0,0,0,2,0,0,0,0,6,0,2,0,0,0,0,,,,,,,,,,,,,,,,
2815,POUSO NOVO,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2816,PRESIDENTE LUCENA,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2817,PROGRESSO,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2818,PROTASIO ALVES,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2819,PUTINGA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2820,QUARAI,0,0,0,12,3,2,0,0,12,2,14,5,0,0,0,,,,,,,,,,,,,,,,
2821,QUATRO IRMAOS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2822,QUEVEDOS,0,0,0,2,2,0,1,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,
2823,QUINZE DE NOVEMBRO,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2824,REDENTORA,0,0,0,4,1,0,0,0,2,4,0,0,0,0,0,,,,,,,,,,,,,,,,
2825,RELVADO,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2826,RESTINGA SECA,0,0,0,15,2,0,0,0,9,1,2,1,0,0,1,,,,,,,,,,,,,,,,
2827,RIO DOS INDIOS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2828,RIO GRANDE,3,3,0,180,7,7,66,0,126,15,6,33,0,0,3,,,,,,,,,,,,,,,,
2829,RIO PARDO,2,3,0,36,7,2,3,0,9,1,5,5,0,0,3,,,,,,,,,,,,,,,,
2830,RIOZINHO,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2831,ROCA SALES,0,0,0,5,0,0,0,0,11,0,0,2,0,0,0,,,,,,,,,,,,,,,,
2832,RODEIO BONITO,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2833,ROLADOR,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2834,ROLANTE,0,0,0,7,1,2,2,0,17,0,2,3,0,0,0,,,,,,,,,,,,,,,,
2835,RONDA ALTA,0,0,0,7,0,1,0,0,4,0,2,1,0,0,0,,,,,,,,,,,,,,,,
2836,RONDINHA,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2837,ROQUE GONZALES,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2838,ROSARIO DO SUL,1,1,0,27,3,1,3,0,14,4,1,12,0,0,1,,,,,,,,,,,,,,,,
2839,SAGRADA FAMILIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2840,SALDANHA MARINHO,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2841,SALTO DO JACUI,0,0,0,11,2,1,0,0,2,2,1,2,0,0,0,,,,,,,,,,,,,,,,
2842,SALVADOR DAS MISSOES,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2843,SALVADOR DO SUL,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2844,SANANDUVA,0,0,0,6,0,1,0,0,3,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2845,SANTA BARBARA DO SUL,0,0,0,11,1,0,0,0,10,0,2,0,0,0,0,,,,,,,,,,,,,,,,
2846,SANTA CECILIA DO SUL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2847,SANTA CLARA DO SUL,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2848,SANTA CRUZ DO SUL,2,3,0,124,0,13,2,0,92,3,7,12,0,0,3,,,,,,,,,,,,,,,,
2849,SANTA MARGARIDA DO SUL,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2850,SANTA MARIA,1,1,0,302,8,16,58,2,228,16,151,49,0,0,1,,,,,,,,,,,,,,,,
2851,SANTA MARIA DO HERVAL,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2852,SANTA ROSA,0,0,0,41,1,0,1,0,28,4,19,25,0,0,0,,,,,,,,,,,,,,,,
2853,SANTA TEREZA,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2854,SANTA VITORIA DO PALMAR,3,3,0,64,10,2,1,0,5,2,7,8,0,0,4,,,,,,,,,,,,,,,,
2855,SANTANA DA BOA VISTA,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,
2856,SANTANA DO LIVRAMENTO,1,1,0,95,20,6,17,1,59,4,10,7,0,0,1,,,,,,,,,,,,,,,,
2857,SANTIAGO,0,0,0,17,2,0,2,0,44,0,18,13,0,0,0,,,,,,,,,,,,,,,,
2858,SANTO ANGELO,0,0,0,128,3,2,6,2,52,5,16,13,0,0,0,,,,,,,,,,,,,,,,
2859,SANTO ANTONIO DA PATRULHA,2,2,0,22,0,1,1,0,22,1,2,2,0,0,2,,,,,,,,,,,,,,,,
2860,SANTO ANTONIO DAS MISSOES,0,0,0,3,0,0,1,0,5,1,2,1,0,0,0,,,,,,,,,,,,,,,,
2861,SANTO ANTONIO DO PALMA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2862,SANTO ANTONIO DO PLANALTO,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2863,SANTO AUGUSTO,0,0,0,11,0,1,3,0,9,0,0,4,0,0,0,,,,,,,,,,,,,,,,
2864,SANTO CRISTO,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2865,SANTO EXPEDITO DO SUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2866,SAO BORJA,0,0,0,52,9,1,4,0,41,2,12,11,0,0,0,,,,,,,,,,,,,,,,
2867,SAO DOMINGOS DO SUL,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2868,SAO FRANCISCO DE ASSIS,0,0,0,8,0,0,2,0,6,1,1,0,0,0,1,,,,,,,,,,,,,,,,
2869,SAO FRANCISCO DE PAULA,0,0,0,10,0,0,0,1,16,0,5,1,0,0,0,,,,,,,,,,,,,,,,
2870,SAO GABRIEL,0,0,0,68,8,2,8,0,30,5,11,23,0,0,0,,,,,,,,,,,,,,,,
2871,SAO JERONIMO,0,0,0,14,0,0,0,0,7,1,6,2,0,0,0,,,,,,,,,,,,,,,,
2872,SAO JOAO DA URTIGA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2873,SAO JOAO DO POLESINE,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2874,SAO JORGE,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2875,SAO JOSE DAS MISSOES,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2876,SAO JOSE DO HERVAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2877,SAO JOSE DO HORTENCIO,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2878,SAO JOSE DO INHACORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2879,SAO JOSE DO NORTE,0,0,0,17,2,0,1,0,7,1,1,7,0,0,0,,,,,,,,,,,,,,,,
2880,SAO JOSE DO OURO,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2881,SAO JOSE DO SUL,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2882,SAO JOSE DOS AUSENTES,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2883,SAO LEOPOLDO,2,2,0,232,0,27,60,12,177,10,32,38,0,0,2,,,,,,,,,,,,,,,,
2884,SAO LOURENCO DO SUL,1,1,0,27,1,0,1,0,20,2,12,2,0,0,1,,,,,,,,,,,,,,,,
2885,SAO LUIZ GONZAGA,1,1,0,27,2,1,1,0,20,5,8,6,0,0,1,,,,,,,,,,,,,,,,
2886,SAO MARCOS,0,0,0,10,0,1,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2887,SAO MARTINHO,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,,,,,,,,,,,,,,,,
2888,SAO MARTINHO DA SERRA,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2889,SAO MIGUEL DAS MISSOES,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2890,SAO NICOLAU,0,0,0,2,2,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
2891,SAO PAULO DAS MISSOES,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2892,SAO PEDRO DA SERRA,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2893,SAO PEDRO DAS MISSOES,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2894,SAO PEDRO DO BUTIA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2895,SAO PEDRO DO SUL,0,0,0,16,3,0,0,0,10,0,2,1,0,0,0,,,,,,,,,,,,,,,,
2896,SAO SEBASTIAO DO CAI,0,0,0,20,1,2,0,0,11,2,22,3,0,0,0,,,,,,,,,,,,,,,,
2897,SAO SEPE,0,0,0,12,1,0,1,0,8,0,1,1,0,0,0,,,,,,,,,,,,,,,,
2898,SAO VALENTIM,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2899,SAO VALENTIM DO SUL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2900,SAO VALERIO DO SUL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2901,SAO VENDELINO,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2902,SAO VICENTE DO SUL,0,0,0,5,2,0,0,0,5,0,3,1,0,0,0,,,,,,,,,,,,,,,,
2903,SAPIRANGA,0,0,0,55,0,3,11,3,38,4,23,10,0,0,0,,,,,,,,,,,,,,,,
2904,SAPUCAIA DO SUL,1,1,0,168,1,13,42,8,66,4,33,15,0,0,1,,,,,,,,,,,,,,,,
2905,SARANDI,0,0,0,23,0,0,0,0,18,0,3,2,0,0,0,,,,,,,,,,,,,,,,
2906,SEBERI,0,0,0,8,1,0,1,0,7,2,1,0,0,0,0,,,,,,,,,,,,,,,,
2907,SEDE NOVA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2908,SEGREDO,0,0,0,7,0,0,0,0,3,1,0,1,0,0,0,,,,,,,,,,,,,,,,
2909,SELBACH,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2910,SENADOR SALGADO FILHO,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2911,SENTINELA DO SUL,1,1,0,5,0,1,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,
2912,SERAFINA CORREA,0,0,0,4,0,0,1,0,8,0,3,3,0,0,0,,,,,,,,,,,,,,,,
2913,SERIO,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2914,SERTAO,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,
2915,SERTAO SANTANA,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2916,SETE DE SETEMBRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2917,SEVERIANO DE ALMEIDA,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,
2918,SILVEIRA MARTINS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2919,SINIMBU,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2920,SOBRADINHO,0,0,0,12,0,0,1,0,4,3,1,3,0,0,0,,,,,,,,,,,,,,,,
2921,SOLEDADE,3,4,0,37,2,4,3,0,5,2,6,2,0,0,4,,,,,,,,,,,,,,,,
2922,TABAI,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2923,TAPEJARA,1,1,0,28,0,2,1,0,9,1,6,0,0,0,2,,,,,,,,,,,,,,,,
2924,TAPERA,0,0,0,7,0,1,0,0,3,0,5,1,0,0,0,,,,,,,,,,,,,,,,
2925,TAPES,0,0,0,25,5,0,1,0,5,0,2,4,0,0,0,,,,,,,,,,,,,,,,
2926,TAQUARA,0,0,0,58,1,0,5,4,32,1,42,10,0,0,0,,,,,,,,,,,,,,,,
2927,TAQUARI,0,0,0,10,2,0,1,0,12,0,10,4,0,0,0,,,,,,,,,,,,,,,,
2928,TAQUARUCU DO SUL,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,
2929,TAVARES,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,,,,,,,,,,,,,,,,
2930,TENENTE PORTELA,1,1,0,14,0,4,2,0,6,2,5,1,0,0,1,,,,,,,,,,,,,,,,
2931,TERRA DE AREIA,0,0,0,13,1,1,1,1,9,0,1,2,0,0,0,,,,,,,,,,,,,,,,
2932,TEUTONIA,0,0,0,15,1,1,0,0,16,0,10,4,0,0,0,,,,,,,,,,,,,,,,
2933,TIO HUGO,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,
2934,TIRADENTES DO SUL,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,,,,,,,,,,,,,,,,
2935,TOROPI,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2936,TORRES,0,0,0,53,1,4,4,1,51,2,6,7,0,0,2,,,,,,,,,,,,,,,,
2937,TRAMANDAI,0,0,0,60,0,4,7,1,44,2,19,15,0,0,0,,,,,,,,,,,,,,,,
2938,TRAVESSEIRO,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2939,TRES ARROIOS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2940,TRES CACHOEIRAS,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2941,TRES COROAS,0,0,0,18,1,1,0,0,6,0,1,2,0,0,0,,,,,,,,,,,,,,,,
2942,TRES DE MAIO,0,0,0,6,0,0,0,0,14,1,2,1,0,0,0,,,,,,,,,,,,,,,,
2943,TRES FORQUILHAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2944,TRES PALMEIRAS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2945,TRES PASSOS,0,0,0,12,0,0,0,0,12,1,5,7,0,0,0,,,,,,,,,,,,,,,,
2946,TRINDADE DO SUL,0,0,0,5,1,0,0,0,4,2,2,4,0,0,0,,,,,,,,,,,,,,,,
2947,TRIUNFO,0,0,0,22,0,1,0,0,9,3,3,2,0,0,0,,,,,,,,,,,,,,,,
2948,TUCUNDUVA,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,,,,,,,,,,,,,,,,
2949,TUNAS,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2950,TUPANCI DO SUL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2951,TUPANCIRETA,0,0,0,12,0,0,1,1,7,1,0,2,0,0,0,,,,,,,,,,,,,,,,
2952,TUPANDI,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,,,,,,,,,,,,,,,,
2953,TUPARENDI,0,0,0,3,1,1,1,0,3,2,0,1,0,0,0,,,,,,,,,,,,,,,,
2954,TURUCU,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2955,UBIRETAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2956,UNIAO DA SERRA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2957,UNISTALDA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2958,URUGUAIANA,4,4,0,89,1,2,19,0,50,2,24,18,0,0,6,,,,,,,,,,,,,,,,
2959,VACARIA,1,1,1,68,0,2,12,0,31,8,13,4,1,0,2,,,,,,,,,,,,,,,,
2960,VALE DO SOL,0,0,0,7,4,1,1,0,4,2,3,0,0,0,0,,,,,,,,,,,,,,,,
2961,VALE REAL,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2962,VALE VERDE,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2963,VANINI,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,
2964,VENANCIO AIRES,0,0,0,63,1,1,3,0,29,2,3,1,0,0,0,,,,,,,,,,,,,,,,
2965,VERA CRUZ,0,0,0,21,0,1,1,0,13,3,3,1,0,0,0,,,,,,,,,,,,,,,,
2966,VERANOPOLIS,0,0,0,5,0,2,0,0,12,0,6,3,0,0,0,,,,,,,,,,,,,,,,
2967,VESPASIANO CORREA,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2968,VIADUTOS,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2969,VIAMAO,1,1,0,140,5,19,100,19,141,4,14,22,0,0,1,,,,,,,,,,,,,,,,
2970,VICENTE DUTRA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2971,VICTOR GRAEFF,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2972,VILA FLORES,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,
2973,VILA LANGARO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2974,VILA MARIA,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2975,VILA NOVA DO SUL,0,0,0,11,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2976,VISTA ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2977,VISTA ALEGRE DO PRATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2978,VISTA GAUCHA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2979,VITORIA DAS MISSOES,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2980,WESTFALIA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2981,XANGRI-LA,2,2,0,22,0,0,3,0,16,0,0,3,0,0,2,,,,,,,,,,,,,,,,
2982,ACEGUA,0,0,0,1,1,0,2,0,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,
2983,AGUA SANTA,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2984,AGUDO,0,0,0,9,0,0,0,0,3,1,0,3,0,0,0,,,,,,,,,,,,,,,,
2985,AJURICABA,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2986,ALECRIM,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2987,ALEGRETE,2,2,0,71,15,1,5,0,37,3,6,5,0,0,2,,,,,,,,,,,,,,,,
2988,ALEGRIA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2989,ALMIRANTE TAMANDARE DO SUL,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2990,ALPESTRE,0,0,0,3,2,0,0,0,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,
2991,ALTO ALEGRE,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2992,ALTO FELIZ,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,
2993,ALVORADA,3,4,0,142,2,11,126,11,139,4,49,41,0,0,4,,,,,,,,,,,,,,,,
2994,AMARAL FERRADOR,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
2995,AMETISTA DO SUL,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
2996,ANDRE DA ROCHA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2997,ANTA GORDA,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
2998,ANTONIO PRADO,0,0,0,6,0,1,2,0,9,0,2,0,0,0,0,,,,,,,,,,,,,,,,
2999,ARAMBARE,0,0,0,5,1,1,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
3000,ARARICA,0,0,0,14,0,0,0,0,4,1,4,1,0,0,0,,,,,,,,,,,,,,,,
3001,ARATIBA,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3002,ARROIO DO MEIO,0,0,0,27,0,3,1,0,19,0,4,0,0,0,0,,,,,,,,,,,,,,,,
3003,ARROIO DO PADRE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3004,ARROIO DO SAL,0,0,0,18,0,2,1,0,13,0,3,3,0,0,1,,,,,,,,,,,,,,,,
3005,ARROIO DO TIGRE,0,0,0,4,1,0,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,
3006,ARROIO DOS RATOS,0,0,0,6,1,1,1,0,5,3,2,2,0,0,0,,,,,,,,,,,,,,,,
3007,ARROIO GRANDE,0,0,0,12,3,0,1,0,3,1,1,2,0,0,0,,,,,,,,,,,,,,,,
3008,ARVOREZINHA,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3009,AUGUSTO PESTANA,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3010,AUREA,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3011,BAGE,1,1,0,107,6,3,14,0,80,1,15,21,0,0,1,,,,,,,,,,,,,,,,
3012,BALNEARIO PINHAL,1,1,0,16,0,0,1,0,11,0,8,2,0,0,1,,,,,,,,,,,,,,,,
3013,BARAO,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3014,BARAO DE COTEGIPE,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,
3015,BARAO DO TRIUNFO,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3016,BARRA DO GUARITA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3017,BARRA DO QUARAI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3018,BARRA DO RIBEIRO,0,0,0,5,1,1,1,0,6,1,3,3,0,0,0,,,,,,,,,,,,,,,,
3019,BARRA DO RIO AZUL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3020,BARRA FUNDA,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3021,BARRACAO,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
