municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,cluster
GUAIBA,7,8,0,632,12,29,205,14,465,38,298,96,0,0,10,0
GUAPORE,11,11,0,110,7,10,8,3,233,32,95,49,0,0,19,0
GUARANI DAS MISSOES,3,3,0,73,2,3,1,0,39,6,2,4,0,0,4,0
HARMONIA,0,0,0,12,0,2,0,0,27,1,5,2,0,0,0,0
HERVAL,1,2,0,64,26,0,5,0,36,3,10,0,0,0,2,0
HERVEIRAS,0,0,0,13,0,1,1,0,17,0,1,1,0,0,0,0
HORIZONTINA,1,1,1,190,1,5,7,1,108,13,30,15,1,0,2,0
HULHA NEGRA,0,0,0,32,9,0,2,2,24,4,1,3,0,0,0,0
HUMAITA,1,1,0,22,0,3,1,0,19,3,3,1,0,0,1,0
IBARAMA,0,0,0,27,2,3,0,0,8,1,0,1,0,0,0,0
IBIACA,0,0,0,32,1,3,0,0,15,4,0,0,0,0,0,0
IBIRAIARAS,0,0,0,37,6,3,2,0,19,9,3,2,0,0,0,0
IBIRAPUITA,1,1,1,13,4,1,0,0,13,7,4,2,1,0,2,0
IBIRUBA,3,3,0,118,12,7,13,3,161,13,44,41,0,0,3,0
IGREJINHA,2,2,0,321,3,17,21,2,133,9,82,30,0,0,2,0
IJUI,9,10,0,874,7,49,50,3,601,45,217,181,0,0,12,0
ILOPOLIS,1,1,0,22,1,0,1,1,8,2,8,0,0,0,1,0
IMBE,6,9,0,625,6,26,63,7,389,16,100,73,0,0,9,0
IMIGRANTE,0,0,0,13,0,0,0,1,13,2,1,1,0,0,0,0
INDEPENDENCIA,0,0,0,44,6,0,0,0,19,3,9,2,0,0,0,0
INHACORA,0,0,0,19,0,0,1,0,6,3,4,2,0,0,0,0
IPE,0,0,0,48,13,2,4,1,42,5,3,7,0,0,0,0
IPIRANGA DO SUL,0,0,0,5,1,0,0,0,11,0,0,0,0,0,0,0
IRAI,3,3,0,106,4,3,2,0,37,12,7,21,0,0,5,0
ITAARA,0,0,0,52,9,3,3,1,52,2,1,0,0,0,1,0
ITACURUBI,0,0,0,36,20,1,0,0,22,6,1,1,0,0,0,0
ITAPUCA,0,0,0,10,0,0,0,2,2,3,0,0,0,0,0,0
ITAQUI,4,4,1,402,49,13,57,1,173,23,29,32,1,0,5,0
ITATI,0,0,0,16,1,3,1,0,10,7,6,1,0,0,0,0
ITATIBA DO SUL,0,0,0,25,2,0,0,0,12,7,1,1,0,0,0,0
IVORA,0,0,1,15,2,0,0,0,11,2,1,0,1,0,1,0
IVOTI,1,1,0,87,0,13,9,0,203,1,45,16,0,0,2,0
JABOTICABA,0,0,0,18,1,1,0,2,22,5,1,0,0,0,0,0
JACUIZINHO,0,0,0,12,6,0,0,0,3,2,0,0,0,0,0,0
JACUTINGA,2,2,0,9,0,1,0,0,17,2,11,0,0,0,2,0
JAGUARAO,1,1,0,339,44,17,22,1,84,12,43,50,0,0,1,0
JAGUARI,0,0,0,57,11,1,6,1,45,1,23,13,0,0,0,0
JAQUIRANA,1,1,0,30,13,0,2,0,22,6,6,2,0,0,2,0
JARI,1,1,0,28,11,0,0,0,9,2,0,0,0,0,1,0
JOIA,0,0,0,35,12,3,3,0,38,9,2,1,0,1,1,1
JULIO DE CASTILHOS,2,2,1,219,18,4,16,1,119,17,29,25,1,0,3,0
LAGOA BONITA DO SUL,0,0,0,9,0,1,0,0,11,0,0,0,0,0,0,0
LAGOA DOS TRES CANTOS,0,0,0,12,1,0,0,0,6,1,1,0,0,0,0,0
LAGOA VERMELHA,7,8,0,373,25,14,21,2,227,43,104,70,0,0,11,0
LAGOAO,1,2,0,10,4,1,3,0,9,2,0,0,0,0,2,0
LAJEADO,17,18,0,1071,6,74,77,10,1025,52,124,178,0,0,21,0
LAJEADO DO BUGRE,0,0,0,3,0,1,1,0,9,3,1,1,0,0,0,0
LAVRAS DO SUL,0,0,0,44,21,3,2,0,15,3,1,5,0,0,0,0
LIBERATO SALZANO,0,0,0,27,6,1,1,0,39,6,1,3,0,0,0,0
LINDOLFO COLLOR,0,0,0,18,0,1,0,1,30,3,9,4,0,0,0,0
LINHA NOVA,0,0,0,7,0,0,0,0,8,2,1,0,0,0,0,0
MACAMBARA,0,0,0,39,15,0,0,0,23,2,0,0,0,0,0,0
MACHADINHO,0,0,0,125,6,3,3,0,9,4,4,1,0,0,0,0
MAMPITUBA,0,0,0,2,0,0,0,0,7,0,0,2,0,0,0,0
MANOEL VIANA,0,0,0,34,11,3,0,0,40,3,8,7,0,1,1,1
MAQUINE,3,3,1,60,16,7,5,2,31,8,3,4,1,0,5,0
MARATA,0,0,0,7,0,2,0,0,21,0,4,0,0,0,0,0
MARAU,3,3,0,403,24,49,25,1,439,30,54,24,0,0,4,0
MARCELINO RAMOS,0,0,0,31,1,1,3,0,15,2,1,1,0,0,0,0
MARIANA PIMENTEL,1,1,0,45,10,2,6,0,18,1,2,4,0,0,1,0
MARIANO MORO,1,1,0,5,1,0,0,0,5,2,1,1,0,0,1,0
MARQUES DE SOUZA,0,0,0,26,2,1,0,0,14,6,3,1,0,0,0,0
MATA,0,0,0,50,14,2,1,0,26,4,3,1,0,0,0,0
MATO CASTELHANO,0,0,0,43,13,2,2,0,13,3,2,1,0,0,0,0
MATO LEITAO,0,0,0,21,0,0,2,0,32,6,2,0,0,0,0,0
MATO QUEIMADO,0,0,0,5,1,0,1,0,7,3,0,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,0,27,0,0,0,0,24,3,1,2,0,0,0,0
MINAS DO LEAO,0,0,1,47,8,3,3,0,42,8,30,14,1,0,1,0
MIRAGUAI,0,0,0,58,8,6,6,0,20,5,2,0,0,0,0,0
MONTAURI,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0
MONTE ALEGRE DOS CAMPOS,0,0,0,28,4,0,0,0,13,3,0,0,0,0,0,0
MONTE BELO DO SUL,0,0,0,18,0,0,0,0,12,2,1,0,0,0,0,0
MONTENEGRO,4,5,0,616,8,54,56,3,469,17,281,123,0,0,5,0
MORMACO,0,0,0,7,0,0,1,0,7,0,0,0,0,0,0,0
MORRINHOS DO SUL,0,0,0,6,0,0,0,0,9,1,2,1,0,0,0,0
MORRO REDONDO,0,0,0,60,8,2,0,0,20,1,0,2,0,0,0,0
MORRO REUTER,0,0,0,36,0,1,4,0,44,0,4,2,0,0,0,0
MOSTARDAS,1,1,0,108,14,3,3,1,77,2,17,17,0,0,1,0
MUCUM,0,0,0,49,0,3,1,0,25,4,9,8,0,0,0,0
MUITOS CAPOES,0,0,0,20,5,3,1,0,10,2,0,1,0,0,0,0
MULITERNO,0,0,0,14,1,1,0,0,6,2,1,2,0,0,0,0
NAO-ME-TOQUE,2,2,0,122,1,3,10,0,182,12,29,24,0,0,2,0
NICOLAU VERGUEIRO,0,0,0,15,4,0,1,0,8,0,1,0,0,0,0,0
NONOAI,1,1,0,69,5,4,5,0,81,14,21,17,0,0,2,0
NOVA ALVORADA,0,0,0,18,1,1,14,0,19,3,0,1,0,0,0,0
NOVA ARACA,0,0,0,27,0,3,3,0,30,4,21,8,0,0,0,0
NOVA BASSANO,0,0,0,43,3,8,2,1,44,13,17,16,0,0,0,0
NOVA BOA VISTA,0,0,0,10,0,1,0,0,14,1,0,0,0,0,0,0
NOVA BRESCIA,0,0,0,4,0,1,0,0,15,0,1,1,0,0,0,0
NOVA CANDELARIA,0,0,0,2,0,1,0,0,11,2,0,0,0,0,0,0
NOVA ESPERANCA DO SUL,0,0,0,18,1,0,0,0,20,0,0,3,0,0,0,0
NOVA HARTZ,1,1,0,102,1,12,11,1,153,9,57,17,0,0,1,0
