municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
mampituba;4311734;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
manoel viana;4311759;0;0;0;2;0;0;0;0;6;0;0;1;0;0;0
maquine;4311775;1;1;0;9;3;0;0;0;2;1;0;0;0;0;2
marata;4311791;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
marau;4311809;0;0;0;28;1;6;2;0;35;1;8;0;0;0;0
marcelino ramos;4311908;0;0;0;3;1;0;0;0;4;0;0;0;0;0;0
mariana pimentel;4311981;0;0;0;10;1;0;0;0;3;0;0;0;0;0;0
mariano moro;4312005;1;1;0;3;0;0;0;0;0;0;0;0;0;0;1
marques de souza;4312054;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0
mata;4312104;0;0;0;4;2;1;0;0;1;0;0;0;0;0;0
mato castelhano;4312138;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
mato leitao;4312153;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0
mato queimado;4312179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
maximiliano de almeida;4312203;0;0;0;8;0;0;0;0;2;2;0;0;0;0;0
minas do leao;4312252;0;0;0;4;0;0;0;0;4;0;2;1;0;0;0
miraguai;4312302;0;0;0;7;2;0;0;0;0;2;0;0;0;0;0
montauri;4312351;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
monte alegre dos campos;4312377;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0
monte belo do sul;4312385;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0
montenegro;4312401;1;1;0;48;1;1;3;0;43;1;27;11;0;0;1
mormaco;4312427;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
morrinhos do sul;4312443;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
morro redondo;4312450;0;0;0;20;0;0;0;0;4;0;0;0;0;0;0
morro reuter;4312476;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0
mostardas;4312500;0;0;0;8;0;1;0;0;8;1;0;0;0;0;0
mucum;4312609;0;0;0;6;0;0;0;0;4;0;0;0;0;0;0
muitos capoes;4312617;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
muliterno;4312625;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0
nao-me-toque;4312658;0;0;0;20;0;0;1;0;17;0;5;3;0;0;0
nicolau vergueiro;4312674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nonoai;4312708;0;0;0;10;0;0;0;0;2;4;1;1;0;0;0
nova alvorada;4312757;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0
nova araca;4312807;0;0;0;5;0;0;0;0;0;0;2;0;0;0;0
nova bassano;4312906;0;0;0;8;1;0;0;0;4;4;1;1;0;0;0
nova boa vista;4312955;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
nova brescia;4313003;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
nova candelaria;4313011;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
nova esperanca do sul;4313037;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
nova hartz;4313060;0;0;0;12;1;1;0;0;17;1;3;3;0;0;0
nova padua;4313086;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
nova palma;4313102;0;0;0;3;1;0;0;0;2;0;1;0;0;0;0
nova petropolis;4313201;0;0;0;11;0;0;0;0;9;4;4;1;0;0;0
nova prata;4313300;0;0;0;8;1;0;2;0;20;6;9;10;0;0;0
nova ramada;4313334;0;0;0;0;0;1;0;0;2;1;0;0;0;0;1
nova roma do sul;4313359;0;0;0;0;0;0;0;0;5;0;4;0;0;0;0
nova santa rita;4313375;0;0;0;19;1;3;6;3;39;1;4;1;0;0;0
novo barreiro;4313490;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
novo cabrais;4313391;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
novo hamburgo;4313409;2;2;0;283;1;22;86;27;188;15;34;27;0;0;3
novo machado;4313425;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
novo tiradentes;4313441;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
novo xingu;4313466;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
