municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos;latitude;longitude;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
bom retiro do sul;4302402;2;2;0;75;8;11;4;0;68;5;33;16;0;0;2;-29.60859999999;-51.94639999999;11704;12010;12061;12185;12128;12295;12420;12630;12739;12939;13171;13344;14.988009592326138;14.988009592326138;0.0;562.0503597122301;59.95203836930455;82.43405275779376;29.976019184652277;0.0;509.59232613908875;37.47002398081535;247.30215827338128;119.9040767386091;0.0;0.0;14.988009592326138
boqueirao do leao;4302451;0;0;0;43;2;8;0;0;14;1;2;2;0;0;0;-29.3046;-52.4284;7836;7795;7653;7616;7546;7573;7438;7336;7268;7411;7459;7467;0.0;0.0;0.0;575.8671487880006;26.7845185482791;107.1380741931164;0.0;0.0;187.49162983795367;13.39225927413955;26.7845185482791;26.7845185482791;0.0;0.0;0.0
bossoroca;4302501;1;1;0;31;11;1;1;0;38;7;29;14;0;0;1;-28.72909999999;-54.9035;7026;6994;6807;6641;6435;6340;6371;6373;6375;6339;6315;6250;16.0;16.0;0.0;496.0;176.0;16.0;16.0;0.0;608.0;111.99999999999999;464.0;223.99999999999997;0.0;0.0;16.0
bozano;4302584;0;0;0;11;1;0;0;0;10;1;2;0;0;0;0;-28.36746;-53.77223999999;2244;2224;2188;2216;2215;2256;2285;2311;2341;2344;2331;2313;0.0;0.0;0.0;475.5728491137051;43.23389537397319;0.0;0.0;0.0;432.33895373973195;43.23389537397319;86.46779074794638;0.0;0.0;0.0;0.0
braga;4302600;0;0;0;13;3;3;2;0;9;4;4;4;0;0;0;-27.6173;-53.74049999999;3784;3756;3717;3704;3663;3714;3666;3723;3731;3758;3719;3725;0.0;0.0;0.0;348.99328859060404;80.53691275167785;80.53691275167785;53.69127516778523;0.0;241.61073825503354;107.38255033557046;107.38255033557046;107.38255033557046;0.0;0.0;0.0
brochier;4302659;0;0;0;19;1;1;1;0;37;1;3;1;0;0;0;-29.5501;-51.59449999999;4765;4697;4729;4669;4806;4814;4912;4985;5087;5169;5130;5349;0.0;0.0;0.0;355.206580669284;18.695083193120208;18.695083193120208;18.695083193120208;0.0;691.7180781454477;18.695083193120208;56.08524957936063;18.695083193120208;0.0;0.0;0.0
butia;4302709;9;11;0;178;19;4;27;0;89;23;59;48;0;0;12;-30.11789999999;-51.96009999999;20842;20770;20552;20463;20886;21214;21436;21172;21137;20960;20909;20842;43.18203627291047;52.77804433355724;0.0;854.0447173975627;91.16207657614432;19.19201612129354;129.54610881873143;0.0;427.0223586987814;110.35409269743786;283.0822377890797;230.3041934555225;0.0;0.0;57.57604836388062
cacapava do sul;4302808;1;1;0;308;40;23;25;1;224;33;105;37;0;0;2;-30.51439999999;-53.4827;34374;34072;33881;33975;34137;34147;33839;33583;33812;33959;34270;34460;2.901915264074289;2.901915264074289;0.0;893.789901334881;116.07661056297157;66.74405107370865;72.54788160185723;2.901915264074289;650.0290191526408;95.76320371445154;304.70110272780033;107.37086477074868;0.0;0.0;5.803830528148578
cacequi;4302907;1;1;0;177;55;3;6;0;60;12;11;5;0;0;1;-29.8883;-54.822;13964;13789;13506;13368;12998;12916;12807;12756;12493;12433;12462;12694;7.877737513786041;7.877737513786041;0.0;1394.359539940129;433.27556325823224;23.633212541358123;47.266425082716246;0.0;472.6642508271624;94.53285016543249;86.65511265164645;39.3886875689302;0.0;0.0;7.877737513786041
cachoeira do sul;4303004;6;6;0;765;34;41;71;1;367;47;105;167;0;0;6;-30.033;-52.8928;85544;85401;85021;84353;83743;83808;83967;84009;83590;83695;84499;84861;7.070385689539365;7.070385689539365;0.0;901.4741754162691;40.06551890738973;48.31430221185232;83.66623065954914;1.1783976149232274;432.4719246768244;55.384687901391686;123.73174956693887;196.79240169217897;0.0;0.0;7.070385689539365
